Sample_name_simple,Origin,Form,geology,Sample_name,Sample_number,Sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end,sound_path_ini,rms_ini,centroid_ini,flatness_ini,rolloff_ini,contrast1_ini,contrast2_ini,RDEM,Q,Q0,dQ,D,D class
L_pl_b_8,L,pl,b,S2,2,8,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_8_ini_ampl_norm.wav,0.14653032,4149.222498,0.050052583,8158.54063,41.32492172,22.38062558,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_9,L,pl,b,S2,2,9,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_9_ini_ampl_norm.wav,0.13354452,3990.930457,0.023333171,7638.474295,39.01125231,24.18208647,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_e_1,L,pl,e,S3,3,1,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_1_ini_ampl_norm.wav,0.108190864,4073.925044,0.048696104,8138.225539,40.64909851,23.78685909,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_2,L,pl,e,S3,3,2,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_2_ini_ampl_norm.wav,0.11929333,3833.245292,0.021520246,8016.334992,40.44351766,24.18341359,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_3,L,pl,e,S3,3,3,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_3_ini_ampl_norm.wav,0.09208434,3743.894329,0.01471337,7065.588723,32.04103321,25.82161662,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_4,L,pl,e,S3,3,4,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_4_ini_ampl_norm.wav,0.105621286,3793.808248,0.01628454,7540.961857,41.37247314,24.8896762,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_5,L,pl,e,S3,3,5,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_5_ini_ampl_norm.wav,0.09915225,3838.192923,0.019885162,7829.436153,42.16222196,24.16863575,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_6,L,pl,e,S3,3,6,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_6_ini_ampl_norm.wav,0.09278377,3698.324864,0.005764586,6439.883914,31.8217723,27.65923115,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_7,L,pl,e,S3,3,7,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_7_ini_ampl_norm.wav,0.10520013,3749.203693,0.038057894,7967.578773,43.50681772,23.65759963,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_8,L,pl,e,S3,3,8,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_8_ini_ampl_norm.wav,0.08543453,3825.665033,0.029747533,7926.94859,37.54574982,23.72417235,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
