Sample_name,Sample_number,Form,Geology,Damage class,RDEM_94,Q_94,rms_ini_1,rms_ini_2,rms_ini_3,rms_ini_4,rms_ini_5,rms_ini_6,rms_ini_7,rms_ini_8,rms_ini_9,centroid_ini_1,centroid_ini_2,centroid_ini_3,centroid_ini_4,centroid_ini_5,centroid_ini_6,centroid_ini_7,centroid_ini_8,centroid_ini_9,flatness_ini_1,flatness_ini_2,flatness_ini_3,flatness_ini_4,flatness_ini_5,flatness_ini_6,flatness_ini_7,flatness_ini_8,flatness_ini_9,rolloff_ini_1,rolloff_ini_2,rolloff_ini_3,rolloff_ini_4,rolloff_ini_5,rolloff_ini_6,rolloff_ini_7,rolloff_ini_8,rolloff_ini_9,contrast1_ini_1,contrast1_ini_2,contrast1_ini_3,contrast1_ini_4,contrast1_ini_5,contrast1_ini_6,contrast1_ini_7,contrast1_ini_8,contrast1_ini_9,contrast2_ini_1,contrast2_ini_2,contrast2_ini_3,contrast2_ini_4,contrast2_ini_5,contrast2_ini_6,contrast2_ini_7,contrast2_ini_8,contrast2_ini_9
S13,13,pl,M_pl_b,Resistant,1,90.04,0.10661559,0.15154505,0.0938989,0.109217204,0.12693433,0.117587075,0.108274125,0.13583635,0.092060976,2775.528229,2871.246274,3620.892491,3480.755668,3175.409603,3319.419419,3198.400142,2909.432247,3382.774034,0.027742224,0.018656481,0.01173247,0.017054852,0.020331189,0.012655295,0.00858594,0.012256601,0.017181128,7979.767828,7987.893864,7020.895522,7764.427861,7849.751244,7622.222222,6817.74461,7662.852405,7284.991708,43.01667793,42.32137846,37.46346459,37.94987377,43.03122175,40.14101442,33.71548368,40.77898357,41.74031075,23.94547849,22.93179619,26.3357936,24.41407541,23.42992538,24.91239996,26.8794657,24.28281862,24.66279809
S14,14,pl,M_pl_c,Resistant,0.99,114.65,0.1163171,0.15648708,0.10818114,0.1476046,0.15768005,0.11948099,0.10922059,0.15681404,0.1225453,3824.018073,3697.32638,3651.100719,3727.952219,3775.906561,4262.4193,3906.492004,3690.187428,3502.441359,0.009980847,0.019362384,0.014738619,0.01212089,0.016325383,0.010919291,0.005211068,0.005773358,0.101392426,7378.441128,7857.87728,7622.222222,7756.301824,7906.633499,7601.907131,6748.6733,7557.21393,8239.800995,37.64238882,42.97069666,36.95629031,39.8566719,38.35697602,36.19178164,36.24081513,39.62489783,51.47735947,25.91631867,24.26353292,25.6407957,24.87137828,23.66562777,24.45386344,27.27007955,25.93624623,21.41435698
S15,15,pl,M_pl_f,Resistant,1,131.91,0.11198303,0.14802065,0.10846785,0.12796122,0.14287232,0.12820032,0.12136271,0.1419821,0.1128114,3514.269324,3358.850205,3321.200725,3615.527675,3520.965397,3418.293887,3326.759862,3605.419982,3375.830607,0.005830706,0.010457316,0.004902258,0.006570598,0.09391186,0.012786413,0.00369474,0.002071617,0.004734219,6850.248756,8008.208955,6793.366501,7569.402985,8597.3466,8032.587065,6813.681592,6618.656716,6943.698176,33.87157559,41.78257541,28.77004795,31.48143824,40.1049712,33.43216869,35.06663051,37.35245975,32.98437273,26.8329379,24.01053194,27.36207288,24.97206284,20.65874401,24.23737516,27.9523695,28.61352799,26.62695535
S16,16,pt,M_pt_a2,Uncertain,0.74,25.84,0.09425858,0.10312728,0.092326604,,,,,,,4365.383047,4266.369642,4097.731365,,,,,,,0.22819571,0.23534988,0.23944332,,,,,,,8483.58209,8243.864013,8434.825871,,,,,,,39.14558373,39.88468299,43.85395352,,,,,,,19.45075841,19.13039019,18.77719875,,,,,,
S17,17,pt,M_pt_a3,Resistant,0.93,70.89,0.13713506,0.13532472,0.1286931,,,,,,,4469.582603,4460.017398,4503.972783,,,,,,,0.09496779,0.027209977,0.032364104,,,,,,,8312.935323,7922.885572,8219.485904,,,,,,,37.61866492,40.51740373,41.40986033,,,,,,,20.7903018,24.25636359,22.93441971,,,,,,
S18,18,pt,M_pt_a4,Resistant,1.01,80.4,0.1315564,0.12765753,0.12827022,,,,,,,4679.903241,4560.030212,4671.232768,,,,,,,0.14557835,0.13538535,0.12656452,,,,,,,8410.447761,8402.321725,8341.376451,,,,,,,45.46562682,41.95876082,42.45748926,,,,,,,19.8401032,19.75865778,20.59837995,,,,,,
S19,19,pt,M_pt_b2,Resistant,1,90.33,0.1282329,0.12751411,0.12849608,,,,,,,4535.020255,4503.124836,4502.842785,,,,,,,0.036641855,0.029363375,0.012833799,,,,,,,8373.880597,7943.200663,7618.159204,,,,,,,34.54395542,37.79934403,31.38822916,,,,,,,22.06116613,23.39906751,25.82175267,,,,,,
S20,20,pt,M_pt_b3,Resistant,1,41.2,0.1310064,0.13086793,0.1315819,,,,,,,4539.917104,4550.833618,4507.300998,,,,,,,0.037448756,0.016970538,0.07842706,,,,,,,8418.573798,7922.885572,8341.376451,,,,,,,32.40107615,32.02793801,33.65019441,,,,,,,22.11208841,24.34974302,20.8016298,,,,,,
S21,21,pt,M_pt_b4,Resistant,1.01,79.06,0.12718564,0.12220564,0.12467024,,,,,,,4801.582954,4781.200813,4781.630695,,,,,,,0.015532322,0.014680031,0.013388384,,,,,,,7727.860697,7614.096186,7670.978441,,,,,,,37.88601974,35.6189891,33.10878446,,,,,,,23.95836324,25.28807277,24.20680216,,,,,,
S22,22,pt,M_pt_c2,Resistant,1.01,67.56,0.10923861,0.10924126,0.10951388,,,,,,,5640.486111,6056.512896,5671.820318,,,,,,,0.27025554,0.23253693,0.37615907,,,,,,,8564.842454,8544.527363,8698.922056,,,,,,,35.44614419,30.42437088,35.46280593,,,,,,,19.0926919,19.12135776,17.12816463,,,,,,
